"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"5889",261,244,281,249,135,255
"105371843",0,0,0,6,0,0
"22843",13,23,12,17,29,22
"4591",735,714,854,728,768,871
"348235",1527,1249,1446,1157,1296,1436
"768216",1,1,4,0,1,3
"407027",0,1,0,0,0,0
"55771",2923,2901,3156,2088,2687,3340
"55181",204,281,287,188,243,235
"284161",138,156,109,154,110,157
"388403",709,684,675,556,698,671
"100616204",0,3,0,0,0,0
"101927728",0,0,0,1,1,0
"105371845",1,0,1,0,0,0
"105371847",1,0,0,3,1,0
"79665",1043,911,976,932,892,996
"1213",9303,7834,9383,8452,8735,10389
"51651",742,593,645,489,621,527
"81671",6090,5017,6335,8541,7889,10371
"406991",19,17,24,10,6,16
"51174",207,227,204,195,211,208
"6198",869,806,1032,806,841,1045
"51136",328,241,341,249,186,278
"653645",74,51,75,82,60,99
"101927755",11,17,12,17,12,12
"105371848",0,0,0,0,0,0
"63897",326,360,370,310,355,357
"100616210",5,4,3,4,3,5
"105371849",9,9,12,6,12,8
"645638",12,9,5,10,7,16
"653653",7,4,4,10,1,19
"100996660",29,18,18,32,18,54
"762",154,150,182,136,176,171
"84669",901,771,899,715,762,976
"677681",2,1,4,0,2,0
"105371850",0,0,0,0,0,2
"124773",0,1,2,0,0,0
"10513",644,551,681,545,536,685
"388406",1,3,0,0,0,1
"8493",575,454,584,359,380,417
"54828",347,337,358,332,270,399
"107984992",2,8,5,2,8,7
"101927855",4,3,2,0,0,0
"103689912",20,27,23,14,19,16
"6909",65,65,102,38,42,87
"388407",7,4,3,6,2,4
"9496",24,18,11,20,21,57
"342538",1,1,2,1,1,1
"83990",396,354,375,344,315,449
"57508",423,379,363,358,428,553
"9969",2223,2011,2492,2027,2456,2801
"440452",0,0,0,0,0,0
"105371853",0,0,0,0,0,0
"105371936",0,0,0,0,0,0
"146779",0,1,0,0,1,0
"105371854",0,0,0,0,0,0
"339175",353,303,370,238,310,333
"112268200",0,0,0,0,0,0
"112268201",3,7,5,3,4,13
"11011",1323,1265,1510,1026,1183,1326
"112268202",5,10,7,5,13,12
"107985020",1,0,0,0,0,0
"9902",119,135,166,131,90,156
"162333",0,3,2,1,2,3
"105371855",0,0,0,0,0,0
"101927877",0,1,0,0,3,1
"693218",0,0,0,0,0,0
"26115",23,16,26,23,23,48
"105371857",0,0,0,0,0,0
"105371856",0,1,1,0,1,0
"107983996",0,1,0,0,0,0
"1534",463,553,672,511,367,612
"1636",327,280,287,263,238,353
"81033",3,2,11,7,7,5
"10238",2026,1939,2224,1643,2095,2405
"51204",403,402,506,380,311,428
"4215",171,204,259,197,267,279
"107984984",6,5,8,8,16,10
"101927898",3,6,3,1,1,1
"80774",23,34,32,29,35,28
"729683",1,1,0,1,0,0
"92335",315,248,277,240,255,310
"57003",2450,2160,2719,2110,2068,2735
"11325",2054,2276,2663,2066,2483,2755
"117246",734,787,983,602,591,846
"5705",1432,1447,1851,1142,1105,1414
"107984986",16,25,30,16,13,24
"6603",1623,1780,1941,1620,1820,1986
"146771",350,329,333,298,276,428
"1443",14,9,22,9,10,19
"2689",0,0,0,0,0,0
"107987248",31,32,29,28,24,34
"1442",3,2,5,1,1,3
"1444",0,0,2,0,0,0
"112268204",0,0,1,0,0,0
"2688",0,0,1,0,0,0
"974",2,1,1,1,1,0
"6329",0,0,1,1,1,2
"105371858",0,0,0,0,0,0
"400612",2,1,0,0,0,1
"92340",4,7,5,12,2,11
"3384",10,7,5,9,5,9
"2081",688,635,924,606,671,816
"105376843",29,51,57,33,44,35
"692227",42,70,102,59,66,51
"677842",20,16,17,16,11,21
"55852",532,517,488,558,503,749
"5175",214,167,189,163,120,244
"284021",45,48,56,48,41,54
"11232",150,136,135,129,133,166
"1655",13804,12942,15902,12615,11732,14025
"100616387",520,500,595,432,402,410
"100616408",684,631,847,701,682,601
"90799",2103,2002,2285,2136,2567,2948
"64750",689,541,716,481,573,577
"109286553",240,216,247,218,260,295
"101929240",42,53,80,55,66,57
"146880",101,140,143,98,118,137
"102464831",6,4,7,4,2,2
"440456",221,193,222,141,156,208
"100422961",11,17,13,11,12,10
"105376844",15,18,31,8,16,20
"105371860",0,2,2,1,3,2
"374819",40,39,40,33,41,42
"107985000",26,30,31,31,43,56
"201283",162,155,142,162,142,168
"10672",2293,1796,2171,1663,1817,1761
"105371864",6,2,0,1,5,3
"100507002",63,58,54,71,47,61
"8787",8,12,11,7,10,10
"105827617",0,0,0,0,0,0
"8313",577,707,861,406,333,618
"201134",19,19,16,19,23,15
"105371867",6,5,1,2,1,3
"350",1051,876,1409,674,564,1158
"5578",619,562,892,484,443,780
"101928001",9,2,4,0,1,2
"693219",0,0,0,0,0,0
"27091",0,0,4,1,1,2
"27092",496,391,535,413,347,442
"786",2,0,5,4,4,2
"9931",1557,1419,1757,1573,2286,2183
"101928021",12,8,7,7,15,10
"5718",2145,2015,2355,1648,1849,1879
"26207",46,45,46,38,21,36
"100500895",0,0,0,0,1,0
"693131",0,0,0,0,1,0
"101928045",6,10,14,10,15,12
"25926",1399,1167,1311,1009,881,1227
"100124536",0,0,0,2,3,0
"2186",2796,2438,3029,2254,2007,3370
"284018",209,171,180,172,215,172
"7233",0,0,0,1,0,0
"3838",6433,5604,6523,4501,5067,5036
"100499466",958,1006,1163,996,1172,1296
"105371871",4,9,9,2,7,4
"105371870",14,13,9,9,23,10
"440461",0,0,2,0,0,0
"51321",740,593,651,649,591,688
"22901",664,499,680,487,532,539
"9120",12,10,10,12,10,35
"5573",2019,1627,1815,1646,1755,2088
"55062",947,784,952,679,740,786
"693220",12,21,20,10,9,5
"54757",1259,999,1164,956,1073,1196
"105371873",5,1,3,3,6,2
"101928104",3,3,1,2,0,0
"105371877",0,1,0,0,0,0
"105371874",9,6,1,4,5,0
"10351",13,12,13,4,12,13
"10350",1,3,3,3,2,5
"104355297",0,0,0,0,0,0
"23460",14,14,7,15,12,15
"100847008",0,0,0,0,0,0
"100616316",0,0,0,0,0,0
"10349",11,11,8,12,10,9
"100133319",2,0,0,6,6,6
"23461",632,596,534,774,726,798
"105371878",0,0,0,0,0,0
"105371879",0,0,0,0,0,0
"5608",380,286,345,375,245,474
"105371880",1,0,0,1,2,2
"107985073",0,0,1,0,1,0
"101928122",1,2,2,3,4,3
"102723487",0,0,1,0,0,0
"105371881",0,0,0,0,0,0
"112267896",0,0,0,0,0,0
"101928141",0,0,1,0,2,0
"3773",68,71,61,65,56,63
"105371882",0,4,0,0,0,0
"400617",0,0,0,0,0,0
"3759",2,6,5,4,6,3
"105371884",0,0,0,0,0,0
"101928165",2,3,2,1,1,1
"107985015",0,0,0,1,0,0
"102723505",0,0,0,0,0,0
"102606463",0,1,0,0,2,0
"102723517",0,1,0,4,0,2
"400618",10,19,6,7,16,15
"101928205",6,3,1,1,1,6
"107987249",1,1,0,1,3,0
"6662",3245,2863,3035,3523,2705,4363
"146795",0,0,2,0,0,10
"100499467",657,690,696,756,654,909
"400619",57,63,51,56,54,49
"107985006",6,6,5,4,2,4
"107985005",2,5,5,4,3,10
"105371887",135,108,103,98,113,132
"201266",273,227,221,248,228,248
"6752",28,36,22,37,19,78
"9382",497,570,597,540,594,640
"84923",508,525,513,416,537,456
"55028",197,185,179,167,160,208
"642843",23,24,24,20,30,19
"23580",1923,1573,1789,1467,1571,1500
"54549",3,2,2,3,5,4
"101928251",0,0,0,0,0,0
"107985091",0,0,0,0,0,0
"100134391",0,0,0,0,0,1
"283982",1,2,0,0,3,0
"400620",0,2,2,1,0,0
"107985081",0,0,0,0,1,0
"105371888",0,0,1,2,1,1
"102723567",0,0,1,1,0,0
"6169",17103,15482,17441,13085,14802,12808
"85001",54,55,73,54,72,75
"94015",61,50,68,72,77,76
"64446",0,1,0,0,1,3
"105371891",0,0,0,0,0,1
"124602",1,1,0,0,2,0
"107985078",0,0,0,0,0,0
"388419",0,0,1,0,0,3
"350383",0,0,0,0,2,0
"55890",1391,1503,1703,1280,1526,1593
"11314",0,2,0,1,6,2
"124599",0,0,1,1,0,0
"107985074",0,0,2,0,0,0
"10871",2,1,3,2,1,0
"100130520",0,0,0,0,0,0
"100131439",0,0,0,0,0,0
"146723",0,0,0,0,0,0
"101928343",2,0,1,0,0,1
"342510",0,0,0,0,2,0
"105371894",42,52,25,56,41,67
"326624",467,495,523,574,482,745
"146722",151,136,173,149,172,174
"105371893",351,330,383,398,347,465
"100500847",104,106,151,131,121,157
"9368",4640,4211,4875,4024,3745,4573
"26151",626,688,751,491,632,618
"54868",164,158,200,125,101,225
"2905",93,111,141,100,90,144
"2232",408,489,550,374,396,450
"283985",567,478,485,545,527,559
"124590",106,72,100,128,100,118
"92736",33,23,33,42,31,44
"347741",3,4,6,16,8,24
"283987",917,955,1116,942,991,1000
"102723641",0,3,1,4,1,3
"30850",1459,1528,1802,1365,1257,1838
"3396",425,451,484,394,374,446
"23510",639,624,751,478,599,610
"100189078",0,0,0,0,0,0
"100189181",0,0,0,0,0,0
"100189371",0,0,0,0,0,0
"10476",3610,2903,2918,2523,2413,2579
"9121",1377,1365,1642,1447,1613,1993
"79637",154,171,205,137,149,177
"30833",747,645,748,553,637,600
"107985034",682,701,827,539,645,648
"51155",1581,1679,1969,1307,1564,1597
"6613",7306,6913,7278,5939,6662,6353
"79902",939,934,1173,819,716,972
"23163",963,1148,1347,928,1178,1287
"51081",889,899,976,732,621,938
"57409",283,270,292,270,199,292
"100287042",86,74,87,73,46,70
"60386",171,162,188,135,103,131
"2885",2854,2829,3401,2547,3059,3440
"100500841",0,0,0,0,0,0
"9772",2898,3341,3507,2791,4002,3630
"102466911",3,7,14,6,14,14
"57513",333,422,491,379,533,457
"283989",578,620,676,566,507,674
"107985023",109,109,143,88,110,106
"3993",2648,3511,4015,2487,3058,3621
"80022",2384,2348,2340,2247,2133,2573
"9400",354,460,454,365,379,585
"643008",75,59,79,87,77,189
"100130933",306,260,318,262,218,242
"107985013",26,31,29,30,25,34
"29115",1394,1398,1750,1063,1120,1411
"3691",2773,2730,3035,2313,3895,3197
"2584",987,792,901,834,805,857
"3021",13211,12985,14944,10316,11187,11945
"100616282",0,0,1,0,0,1
"85451",724,731,788,664,692,797
"201294",177,287,472,181,161,313
"23558",3356,3017,3710,2851,3389,3433
"91107",62,118,90,104,93,110
"201292",314,341,391,336,360,493
"64978",773,818,963,643,581,770
"85302",113,147,136,130,111,141
"51",2206,1905,1949,2214,2046,2720
"100529145",261,257,288,244,257,314
"100134934",118,133,125,121,115,127
"1018",142,124,162,117,136,181
"2125",145,106,96,74,82,123
"6730",2218,2246,2850,1716,1982,2228
"8811",25,28,25,8,8,37
"353174",219,265,311,198,175,286
"23265",1185,1226,1503,1165,1001,1526
"102466753",0,0,0,0,0,1
"101928447",6,6,5,7,4,9
"2302",51,120,133,42,29,59
"100507218",104,98,119,104,75,130
"114804",550,525,602,516,512,809
"105371896",26,19,18,19,8,22
"107985019",6,8,7,7,8,9
"283991",2224,2161,2365,1261,1909,1625
"84074",35,41,30,21,33,53
"5635",845,761,899,671,845,876
"8877",131,112,153,165,100,159
"63893",631,749,879,700,893,973
"15",6,8,15,14,18,39
"79651",467,409,578,412,332,548
"114757",6,4,5,16,9,12
"768206",9,16,29,5,15,17
"100507246",6579,6252,7234,4512,6353,5266
"677850",1,4,4,4,1,8
"677849",5,2,9,2,1,4
"677848",11,9,6,3,5,6
"10610",44,25,32,30,22,27
"55808",131,108,96,90,135,86
"105274304",5,5,3,5,4,6
"439921",1285,1160,1357,1153,1401,1160
"23210",1712,1565,1911,907,1228,970
"124512",658,568,585,569,511,633
"6427",5709,5330,6122,4302,4033,4569
"693221",143,158,157,136,110,162
"79157",1149,1086,1202,906,887,1162
"101928514",0,3,4,4,13,1
"107985089",1,3,0,0,4,1
"283994",0,0,1,0,0,0
"146664",7,16,38,17,10,24
"105371899",1,0,0,0,0,0
"654434",71,79,117,86,143,135
"6397",1424,1344,1753,1110,1224,1770
"677781",30,25,37,20,32,18
"102466864",28,24,35,19,32,18
"105371900",0,4,3,0,3,1
"105371901",1,1,2,3,4,3
"105371906",11,6,17,8,2,16
"105371907",5,3,7,2,3,3
"10801",4171,4123,4597,3669,3817,5030
"100422851",0,0,0,0,0,0
"112268199",13,9,21,14,29,30
"105371903",3,2,16,5,3,6
"400622",0,0,0,0,0,0
"100507351",0,0,0,0,0,3
"107985079",0,0,0,0,0,1
"100132174",1,0,0,0,0,1
"105371908",0,4,3,1,1,1
"400624",0,0,1,0,0,0
"107985087",0,2,0,1,0,0
"105371909",0,0,0,0,1,0
"57690",243,218,314,222,273,279
"107985010",3,3,18,4,6,9
"100131096",99,110,111,119,110,185
"11322",1376,1620,1613,1363,1539,1783
"147138",26,42,25,19,31,23
"100141515",10,7,6,11,12,15
"9144",2356,2433,2864,2088,2079,2382
"7083",987,1053,1256,791,730,984
"107985050",131,114,139,94,91,124
"125061",1382,1389,1531,1109,1191,1271
"332",1159,1211,1427,797,980,1214
"283999",0,1,0,0,1,2
"105371910",0,0,1,0,1,0
"100996291",1,0,1,0,1,1
"105371912",21,27,24,19,23,13
"9021",524,526,538,404,392,455
"101928674",25,30,33,33,27,49
"9489",430,494,525,455,499,629
"8632",66,103,73,92,83,129
"107985047",1,5,2,1,5,3
"100996295",1,2,6,4,1,2
"101928710",0,1,6,0,0,0
"112268196",377,418,454,350,447,447
"9267",1064,1010,1267,956,1044,1261
"57602",1697,1790,2266,1670,1829,2456
"7077",3377,3029,3718,3142,3359,3750
"100653515",41,33,59,33,58,77
"3959",6548,6183,6562,4963,4898,5730
"124583",902,886,948,775,877,979
"100507410",19,21,25,25,6,23
"114897",196,212,219,185,187,241
"64772",908,1077,1096,1210,1167,1330
"146713",30,50,51,50,67,79
"100616170",0,0,0,0,0,0
"100652929",0,4,4,2,3,2
"339221",360,219,198,236,138,252
"84733",521,479,583,475,468,536
"57332",448,461,538,373,415,497
"102723961",15,5,11,12,15,15
"105371919",21,4,8,14,6,10
"8535",3171,2875,3208,2161,2388,2597
"101928766",9,8,15,13,5,25
"101928738",6,2,5,3,7,15
"125058",607,632,737,512,481,778
"55036",16,16,37,21,29,32
"100616121",0,0,4,0,0,0
"2548",1446,1335,1276,1349,1096,1443
"9775",2062,2090,2602,1606,1694,1987
"79092",21,21,30,23,19,38
"6448",481,481,542,461,508,558
"284129",344,344,424,341,315,415
"57674",1165,1327,1570,1227,1352,1951
"100294362",17,15,32,29,19,49
"284131",331,328,358,277,280,383
"100616359",1,0,3,1,2,3
"4884",4,11,7,30,10,36
"57521",352,389,465,377,341,540
"105371922",1,2,4,0,14,0
"107985021",1,6,10,5,7,19
"101928855",1,6,3,4,9,7
"107985022",0,0,2,0,2,0
"400627",8,8,4,8,6,14
"79643",149,111,125,146,95,131
"100129503",13,17,23,8,11,26
"440465",118,189,177,175,161,234
"10458",536,613,825,522,595,843
"107987250",404,412,589,462,470,947
"9625",1911,1768,1912,1800,1664,2240
"724027",5,6,2,3,10,14
"100422915",0,0,0,0,2,1
"442906",0,0,0,0,2,1
"100302229",4,4,0,0,3,3
"388428",3,3,4,6,6,9
"22994",359,426,437,310,387,486
"146705",267,274,352,222,305,307
"105371925",95,99,118,87,95,114
"284184",254,308,319,311,261,284
"124565",1423,1537,1556,1302,1074,1753
"284185",51,82,94,111,138,188
"112268186",17,29,29,31,37,33
"100130370",1,1,2,6,3,15
"57597",319,299,326,345,349,545
"100616294",0,0,3,0,0,1
"100422944",0,3,0,0,0,0
"105371926",0,0,1,2,2,1
"112268189",35,51,45,35,53,52
"105371927",0,3,1,0,0,1
"71",57613,51282,59669,45662,46415,53459
"25794",54,68,58,87,103,166
"80233",333,389,390,304,331,405
"55666",2196,2315,2846,1883,2042,2656
"83882",4,19,21,19,10,21
"5148",3,8,7,1,14,6
"339229",244,236,257,239,224,228
"339230",451,538,615,367,346,410
"339231",348,360,425,338,318,376
"9146",2002,2296,2893,2045,2262,2735
"102465471",0,1,0,0,0,0
"6182",1289,1409,1516,1102,1061,1332
"1468",411,465,500,365,294,574
"105371929",0,0,3,5,0,7
"105376789",2,1,2,1,7,15
"2642",1,1,3,2,8,6
"348262",259,229,258,204,205,250
"116729",36,29,46,21,51,24
"5034",20992,20452,24447,17828,20427,20958
"396",3488,3229,3940,2574,2787,3243
"10189",1783,1968,2179,1278,1276,1468
"51529",1176,1167,1214,1020,924,1032
"5833",1032,1190,1282,1037,1030,1289
"256933",27,23,31,15,19,29
"51547",756,870,991,620,801,844
"4097",1755,1946,2863,1952,2425,2770
"92659",41,27,40,40,30,68
"5831",1176,1325,1576,1054,1077,1202
"255275",3,1,1,3,6,7
"147111",43,51,67,49,51,67
"105371939",2,2,2,2,3,1
"79058",309,412,506,338,359,403
"201254",452,439,440,380,335,379
"201255",231,287,271,238,199,255
"5881",771,855,853,658,747,784
"51181",720,774,844,627,571,729
"113523640",1,1,1,2,4,3
"5986",396,438,436,358,495,462
"2873",1082,1186,1421,970,1025,1161
"64118",715,897,966,669,798,829
"2194",6475,7003,7333,6449,6616,8561
"106633803",18,15,13,15,17,10
"284001",359,455,387,395,387,565
"9123",434,546,612,384,572,498
"102465472",3,1,1,2,0,1
"1453",3388,3357,4162,3051,3086,4070
"101929511",30,27,21,6,21,22
"107985059",1,3,1,2,3,12
"924",22,29,43,40,40,39
"6398",97,120,119,136,105,153
"400629",48,47,50,44,52,31
"2837",5,4,2,4,2,7
"79701",392,444,429,389,394,452
"284004",333,296,327,281,240,334
"79415",498,433,484,411,352,537
"105371941",11,16,17,22,13,16
"26502",1296,1355,1577,1281,1640,1714
"100189255",0,0,0,0,0,0
"3607",1916,2160,2461,1585,1881,2176
"105371942",98,140,149,80,122,153
"56270",2553,2847,3300,2342,4408,3029
"10966",311,256,285,227,345,267
"100616196",0,0,2,0,0,0
"105376791",5,6,2,1,2,10
"101929552",1,1,0,0,1,1
"79672",702,749,857,643,636,694
"64122",470,549,525,393,425,570
"6904",1050,1091,1134,989,1009,1444
"79755",7,1,2,0,3,3
"146712",145,132,140,109,122,145
"284207",1362,1262,1566,1114,1125,1449
"107987251",1,14,19,22,30,74
"101930496",2,7,16,7,14,18
"101929650",1,0,1,0,1,0
"105371948",0,0,0,0,0,0
"100505909",0,1,3,2,0,2
"388574",8,8,6,10,4,1
"403340",3,1,5,0,1,6
"105379279",0,0,1,0,1,0
"105379280",287,234,309,215,251,287
"105379281",0,0,0,0,0,0
"102724130",1,2,1,2,0,0
"105371950",1,0,0,0,0,0
"260334",13,15,16,18,26,19
"727758",246,220,239,243,209,296
"102466878",5,2,6,5,4,9
"105371951",0,0,0,0,0,0
"9097",4658,4164,4646,4313,4459,5499
"9984",1364,1472,1464,1198,1607,1512
"81035",6,4,2,5,3,3
"107985155",0,0,0,0,0,0
"105376854",1,0,0,0,0,1
"1068",0,0,0,0,1,0
"27098",39,37,34,43,42,43
"105371952",1,2,4,4,2,7
"494514",235,235,188,185,174,224
"7298",1035,1050,1005,947,836,1135
"55556",1414,1528,1643,1401,1346,1872
"7525",4170,3565,4358,3607,3750,4429
"116",2,0,0,2,0,2
"388456",0,0,0,0,0,0
"107985165",1,0,1,1,3,4
"105371953",16,34,16,22,14,37
"56651",3,8,2,1,6,3
"105371954",1,3,0,0,1,0
"105371960",0,0,0,0,0,0
"105371959",0,0,0,0,0,0
"105371958",9,1,2,3,7,1
"105371957",1,6,5,1,1,4
"105371956",30,46,44,49,38,69
"105371961",0,0,0,0,0,0
"64863",419,372,440,339,409,399
"10403",1686,1215,1470,1022,1082,1230
"645158",17,16,36,27,17,20
"23347",1531,1299,1634,1416,1341,2037
"84034",106,151,220,120,111,188
"9663",2444,2249,2713,2587,2796,3056
"727896",76,42,63,70,124,102
"105371963",16,11,4,10,1,18
"8736",56,56,85,46,24,50
"101927044",27,25,29,60,29,29
"10627",8149,6299,7190,5391,6004,5344
"104968399",3910,3073,3705,2806,2960,2610
"103910",17601,14137,16849,12123,12454,11723
"105371964",0,0,0,0,1,0
"7050",1697,1706,2255,1167,1291,1791
"105371965",2,2,3,1,4,4
"100505592",3,1,2,1,1,3
"9229",3,19,14,16,9,6
"649446",117,106,127,81,74,119
"84777",677,510,602,591,579,730
"105371967",18,18,36,21,16,22
"107985137",0,0,4,5,6,7
"201477",1,2,4,1,3,0
"102465430",0,0,0,0,0,0
"101410534",0,0,3,0,0,0
"284215",0,0,0,0,0,0
"105371968",0,0,0,0,0,0
"105371969",0,0,0,0,0,0
"642597",4,2,0,2,0,2
"147525",198,187,234,132,127,155
"339290",481,452,445,393,379,510
"7541",172,175,160,137,170,156
"107985144",0,4,3,1,0,0
"105371970",1,0,1,3,2,1
"23136",44,78,118,67,30,113
"107985145",1,0,1,0,1,1
"100286986",1,1,2,1,3,4
"645355",0,0,0,0,0,0
"100616244",0,0,0,0,0,0
"645369",7,5,10,5,14,5
"91133",19,16,8,10,15,12
"101927150",1,5,2,1,2,4
"100422840",0,0,0,0,0,0
"100130480",0,0,0,0,0,0
"105371972",0,0,0,1,2,0
"107985176",2,3,1,9,4,3
"101927168",2,3,3,2,1,1
"79822",105,181,272,144,131,237
"400643",285,297,404,255,260,360
"284217",200,363,748,179,245,510
"101927188",10,24,37,8,13,27
"339291",0,0,0,0,0,0
"105371973",0,0,0,0,1,0
"105371974",0,0,1,0,0,0
"105371975",0,0,0,0,0,2
"112577592",0,0,0,0,0,0
"105371976",0,0,0,0,1,0
"5797",1216,1239,1825,1193,1236,2048
"107985119",0,3,1,0,2,6
"100192426",0,0,2,0,3,1
"201475",545,578,656,520,648,747
"100287082",1,1,1,0,1,0
"23255",178,203,256,173,132,263
"4729",3368,3091,3678,2647,3050,3325
"101927275",67,58,47,69,76,97
"23253",6312,5216,6752,5657,6955,6671
"107985188",6,2,5,10,18,17
"102724397",61,61,63,55,52,43
"57045",952,890,1128,788,795,1052
"105371980",2,0,0,0,0,0
"10928",2815,2611,3457,2163,2499,2836
"9989",1667,1569,1980,1483,1452,1739
"101927323",2,3,9,4,2,8
"112268216",2,1,0,0,1,0
"11031",97,70,117,73,48,76
"105371981",0,0,2,0,0,1
"84203",0,0,0,0,3,0
"105371982",1,0,3,0,1,1
"9218",6037,5338,6240,4481,5206,5231
"105371983",0,0,0,0,0,0
"105371984",0,0,0,0,0,2
"105371985",0,0,0,0,0,0
"105371986",0,0,0,0,5,0
"105371989",0,0,0,0,0,0
"105371988",0,0,0,0,1,0
"101927350",0,0,0,0,0,0
"147495",24,16,43,18,24,25
"8774",902,826,972,811,981,973
"105371990",0,2,2,0,1,0
"102724470",0,4,3,2,0,1
"107987262",5,1,1,0,2,4
"101927410",0,0,0,0,0,0
"63895",13,5,8,8,11,9
"102466735",0,0,0,0,0,0
"105371992",0,0,1,0,2,0
"105371993",2,0,2,0,0,0
"105371995",0,0,0,0,0,0
"107985173",0,0,0,0,0,0
"105371994",0,0,0,0,0,0
"101927433",0,0,0,0,0,0
"646000",1,0,0,0,0,0
"102465690",0,0,0,0,0,0
"2774",455,420,523,355,386,511
"57132",3455,2777,3544,2770,2931,3667
"65258",437,443,527,430,365,522
"101927511",0,5,4,0,0,0
"3613",1383,1298,1613,1157,1075,1512
"342850",0,1,0,1,0,0
"497259",6,15,6,4,5,11
"1149",3,0,1,0,8,1
"105371996",0,0,0,0,0,0
"84617",1690,1872,2585,1359,1301,1831
"10939",2594,2249,2926,1869,2002,2534
"107985154",233,224,283,165,168,210
"10650",128,125,145,118,101,163
"105371998",66,68,68,55,54,64
"56907",852,693,830,703,720,838
"56984",2817,2434,2941,1897,2133,2027
"79959",912,772,1034,554,600,670
"100996324",0,1,3,0,1,1
"5771",1938,1568,1843,1334,1461,1592
"81929",1624,1552,1885,1203,1287,1746
"55125",841,787,778,736,730,1072
"753",14,10,14,13,27,14
"147276",0,2,0,2,2,1
"100288122",1,1,0,1,2,0
"100847080",0,0,0,0,0,0
"107985120",0,0,0,0,0,0
"102724615",14,10,7,11,12,6
"100616130",0,0,0,0,0,0
"125228",1041,963,1048,680,984,891
"8731",2193,1986,2266,2118,3363,2865
"4161",0,10,3,0,0,1
"4158",0,0,0,0,0,0
"162655",159,200,163,161,193,242
"440482",340,338,421,307,407,369
"284233",24,63,63,42,36,47
"105372003",0,3,5,3,2,1
"440224",0,0,0,0,0,0
"388468",0,0,0,0,2,1
"105372004",0,0,0,1,1,0
"105372006",0,0,0,0,0,0
"105372005",0,0,0,0,0,1
"105372007",0,0,0,1,1,0
"374860",2,1,2,1,3,3
"105372008",0,0,0,0,0,0
"100422907",0,0,0,0,0,0
"105372009",0,1,1,1,0,3
"105372010",0,0,0,0,0,0
"400644",4,0,0,1,1,2
"101927642",0,0,0,2,0,0
"644669",0,1,2,0,0,0
"6093",2148,2095,2596,1783,1997,2312
"107985161",2,0,1,0,0,1
"101927496",9,1,8,2,7,9
"80000",499,473,762,527,546,813
"101927521",21,16,13,19,17,20
"114799",1123,858,987,807,992,848
"6632",1824,1600,1807,1328,1218,1466
"171586",1035,974,1193,919,841,1014
"100302135",0,3,6,2,3,0
"105376866",7,3,8,2,1,4
"57534",1659,1364,1444,1647,1668,1919
"102723167",3,9,3,5,6,8
"406922",0,0,0,0,0,0
"406905",0,2,0,0,0,0
"105372016",2,0,0,1,5,1
"102724208",4,10,18,16,12,12
"100128893",305,431,580,431,614,494
"2627",1682,2109,2781,2507,2203,3351
"105372017",2,2,4,0,2,1
"105372018",0,1,3,1,2,0
"101927548",0,0,0,0,0,1
"105372019",2,2,0,1,0,0
"64693",2,0,0,1,0,0
"101927571",1,1,8,1,1,0
"5932",713,563,754,523,335,538
"100616139",3,4,3,4,1,3
"91768",381,480,610,421,428,533
"85019",86,86,141,76,109,118
"8780",2474,2348,2626,1889,2416,2277
"29919",479,465,554,356,356,497
"4864",2025,1678,2103,1776,1706,2445
"147463",76,108,88,56,86,77
"3909",476,472,616,581,541,772
"107985181",1,0,0,0,0,0
"105372023",0,0,0,0,0,0
"125488",85,130,171,94,98,137
"102724246",8,10,3,0,3,7
"112268213",1,3,5,1,5,5
"26256",72,52,78,60,86,57
"114876",392,365,391,311,358,351
"100302195",0,0,0,0,1,0
"55364",424,319,336,301,290,387
"59340",2,1,4,0,2,3
"105372026",0,0,1,0,0,1
"729950",0,0,0,0,0,0
"105372027",0,0,0,0,0,0
"105372028",0,0,0,0,0,0
"105372029",0,0,0,0,0,0
"105372030",0,0,0,0,0,0
"107985141",1,0,0,0,0,0
"25925",0,0,0,0,2,3
"107987256",0,0,0,0,1,1
"105372031",0,0,0,0,2,0
"6760",591,583,647,457,603,738
"143471",0,5,0,0,2,0
"6875",155,152,173,151,123,151
"105372034",0,0,0,0,0,0
"107985142",1,0,1,0,0,1
"100506787",1,1,0,2,1,0
"284252",75,56,64,84,73,80
"102466874",0,0,0,0,0,0
"102725227",0,1,0,0,0,0
"728606",0,0,0,1,1,0
"105372035",0,0,0,0,0,0
"361",3,2,3,2,1,9
"147429",0,3,1,0,4,0
"83539",39,49,95,38,44,69
"105372036",0,3,0,0,2,1
"107985143",0,0,1,0,0,3
"105372037",0,0,0,0,0,0
"105372038",0,0,0,2,0,0
"105372040",0,0,0,0,0,0
"105372041",0,0,0,0,0,0
"107985126",0,0,0,0,3,0
"105372042",0,0,0,0,0,0
"1000",4,3,3,1,2,4
"105372043",0,0,0,0,0,0
"105372044",0,0,1,0,0,0
"105372045",0,0,0,0,0,0
"100302131",0,0,0,0,0,0
"105372046",0,0,0,0,2,0
"105372047",0,0,0,0,0,0
"1825",289,352,461,364,341,593
"1824",1306,991,1145,1122,1076,1219
"101927698",1,4,3,2,3,2
