Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
PBX1,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Stomach Carcinoma; Retroviridae Infections; melanoma; Squamous cell carcinoma; Pre B-cell acute lymphoblastic leukemia; ovarian neoplasm; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of ovary; Hematopoietic Neoplasms,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0189794808441368; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0334891258932371,Congenital Anomalies Of Kidney And Urinary Tract,0.0075861267486594,Nance-Horan syndrome ORPHA:627; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Matthew-Wood syndrome ORPHA:2470,0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
PCDH7,,,,,"Atrial septal defect, ostium primum type ORPHA:99106; Peters anomaly ORPHA:708; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Greig cephalopolysyndactyly syndrome ORPHA:380; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Branchiootic syndrome ORPHA:52429; Brachydactyly type A2 ORPHA:93396; Waardenburg syndrome type 2 ORPHA:895; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Mandibulofacial dysostosis with alopecia ORPHA:443995; Nance-Horan syndrome ORPHA:627; Oculocutaneous albinism type 3 ORPHA:79433; Hypoplastic left heart syndrome ORPHA:2248; Matthew-Wood syndrome ORPHA:2470; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721",0.0040361447187818; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0092060390928213; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
PDE4B,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,,,,
PDGFB,Mammary Neoplasms; Breast Carcinoma; melanoma; Malignant mesothelioma; ovarian neoplasm; Fibrosarcoma; Medulloblastoma; Skin carcinoma,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0354767239335874; 0.0482468351695405,,,Dermatofibrosarcoma protuberans ORPHA:31112,0.0180064224283883,,,Escherichia coli;Homo sapiens HEK293T embryonic kidney cell;In vitro,0.35;0.73,Homo sapiens,Homo sapiens
PIR,melanoma,0.0149315928814189,,,,,,,,,,
PLEKHD1,,,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,,,,
PLK2,"Ovarian Carcinoma; Tumor Progression; Adenocarcinoma; Squamous cell carcinoma; Carcinogenesis; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Epithelial ovarian cancer",0.0034602840073026; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0228075668512991; 0.0277695594716545; 0.0308703957553632; 0.0387439397151409,Anaplastic Carcinoma,0.0402286636010764,Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Auriculocondylar syndrome ORPHA:137888; Chondrosarcoma ORPHA:55880; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402; Trichorhinophalangeal syndrome type 2 ORPHA:502,0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HeLa epitheloid cervical carcinoma cell,0.4,Homo sapiens,Mus musculus
PLSCR4,,,,,"Atrial septal defect, ostium primum type ORPHA:99106; Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; 20p12.3 microdeletion syndrome ORPHA:261295; Papillary renal cell carcinoma ORPHA:319298; Waardenburg syndrome type 2 ORPHA:895; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Autosomal recessive brachyolmia ORPHA:448242; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Diaphanospondylodysostosis ORPHA:66637; Familial drusen ORPHA:75376; Hereditary neuropathy with liability to pressure palsies ORPHA:640; Ischiovertebral syndrome ORPHA:85200; Primary CD59 deficiency ORPHA:169464; RIN2 syndrome ORPHA:217335; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282; Congenital diaphragmatic hernia ORPHA:2140; Piebaldism ORPHA:2884; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0092060390928213; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,yeasx,0.37;0.56,Bacillus anthracis;Homo sapiens,Homo sapiens
PPP1R14B,melanoma,0.0149315928814189,,,,,,,,,,
PRMT6,Mammary Neoplasms; Breast Carcinoma; Tumor Progression; melanoma; Malignant neoplasm of breast; Carcinogenesis,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,,,,,Homo sapiens HEK293T embryonic kidney cell;In vitro;yeasx,0.35;0.52;0.56,Homo sapiens;hhv8,Homo sapiens;chemical synthesis
PRR15,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959,0.0180064224283883,,,In vitro;yeasx,0.35;0.44;0.56,HCV77;Homo sapiens;chemical synthesis,Homo sapiens
PRSS23,Breast Carcinoma; Tumor Progression; melanoma; Malignant neoplasm of breast,0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999,,,"Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; Auriculocondylar syndrome ORPHA:137888; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Autosomal recessive brachyolmia ORPHA:448242; Primary CD59 deficiency ORPHA:169464; RIN2 syndrome ORPHA:217335; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282; Familial primary localized cutaneous amyloidosis ORPHA:353220; Trichorhinophalangeal syndrome type 2 ORPHA:502",0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
PSMB9,Epithelioma; melanoma; ovarian neoplasm,0.0149002095788623; 0.0149315928814189; 0.0191435238361999,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293T embryonic kidney cell;Saccharomyces cerevisiae,0.37;0.51,Homo sapiens;hcvco,Homo sapiens;hcvco
PURPL,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,,,,
RBM24,,,,,"Atrial septal defect, ostium secundum type ORPHA:99103; Branchiootic syndrome ORPHA:52429; Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093; Posterior hypospadias ORPHA:95706",0.00518481975049; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
RGL1,Malignant neoplasm of breast,0.0191435238361999,Breast Cancer,0.0402286636010764,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; RIN2 syndrome ORPHA:217335,0.00518481975049; 0.0180064224283883,,,,,,
RGS6,Mammary Neoplasms; Breast Carcinoma; Tumor Progression; Malignant neoplasm of breast; Carcinogenesis,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
RHOBTB3,Tumor Progression,0.0149315928814189,,,Myelodysplastic syndrome ORPHA:52688; Congenital diaphragmatic hernia ORPHA:2140,0.0083045131203191; 0.0180064224283883,,,In vitro,0.44,Homo sapiens;chemical synthesis,Homo sapiens;chemical synthesis
RHOU,Mammary Neoplasms; Stomach Carcinoma; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991,Lymphocytic Leukemia,0.0487679768343083,Familial multiple nevi flammei ORPHA:624; Sturge-Weber syndrome ORPHA:3205,0.0180064224283883; 0.0180064224283883,,,In vitro,0.44,Homo sapiens,chemical synthesis
RPSAP52,,,,,Arnold-Chiari malformation type I ORPHA:268882; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.00518481975049; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,,,,
RTKN2,Breast Carcinoma,0.0042545616049287,Breast Carcinoma,0.0075861267486594,,,,,,,,
S100A14,Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Tumor Progression; Stomach Carcinoma; Squamous cell carcinoma; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary,0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545,,,Severe generalized junctional epidermolysis bullosa ORPHA:79404; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Kindler epidermolysis bullosa ORPHA:2908; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Autosomal recessive infantile hypercalcemia ORPHA:300547; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403; Erythrokeratodermia variabilis ORPHA:317,0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111,,,,,,
SCG2,melanoma; Adenocarcinoma,0.0149315928814189; 0.0155921563748247,,,Ondine syndrome ORPHA:661,0.020072786018028,,,,,,
SCHIP1,,,,,Ondine syndrome ORPHA:661,0.020072786018028,,,In vitro;yeasx,0.56;0.59,Homo sapiens,Homo sapiens
SCML2,Medulloblastoma,0.0354767239335874,,,,,,,,,,
SETD7,Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Stomach Carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,,,,,,,In vitro,0.44,Homo sapiens,-;chemical synthesis
SHCBP1,Tumor Progression; melanoma; Carcinogenesis,0.0149315928814189; 0.0149315928814189; 0.0228075668512991,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Roberts syndrome ORPHA:3103; Stromme syndrome ORPHA:506307; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.0083045131203191; 0.0106988445340883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,Homo sapiens HeLa epitheloid cervical carcinoma cell,0.4,Mus musculus,Homo sapiens
SIX2,Breast Carcinoma; Malignant neoplasm of breast; Carcinogenesis,0.0042545616049287; 0.0191435238361999; 0.0228075668512991,Congenital Anomalies Of Kidney And Urinary Tract,0.0075861267486594,SIX2-related frontonasal dysplasia ORPHA:488437; Peters anomaly ORPHA:708; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Branchiootic syndrome ORPHA:52429; Rieger anomaly ORPHA:91483; Bamforth-Lazarus syndrome ORPHA:1226; BOR syndrome ORPHA:107,0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0183145313768111,,,Homo sapiens HEK293T embryonic kidney cell;yeasx,0.37;0.4,Homo sapiens,Homo sapiens
SKAP1,Ovarian Carcinoma; ovarian neoplasm; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0191435238361999; 0.0277695594716545; 0.0387439397151409,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,,,,
SKIL,melanoma; Squamous cell carcinoma,0.0149315928814189; 0.0182265588252201,,,,,,,yeasx,0.56,Homo sapiens,Homo sapiens
SLC22A18,Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of esophagus,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,Hereditary breast cancer ORPHA:227535,0.0106988445340883,,,Homo sapiens;In vitro,0.35,Homo sapiens;Human papillomavirus type 11;Human papillomavirus type 6b;ebvb9,Homo sapiens
SMAD6,Ovarian Carcinoma; Squamous cell carcinoma; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0182265588252201; 0.0228075668512991; 0.0277695594716545,,,"Atrial septal defect, ostium secundum type ORPHA:99103; Ulnar-mammary syndrome ORPHA:3138; Myelodysplastic syndrome ORPHA:52688; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; Tetralogy of Fallot ORPHA:3303",0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0277610005156803,,,Chlorocebus aethiops;Homo sapiens;Homo sapiens HEK293T embryonic kidney cell;Saccharomyces cerevisiae,0.35;0.4;0.51,Homo sapiens;Mus musculus,Homo sapiens
SMAD7,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Retroviridae Infections; melanoma; Proliferative vitreoretinopathy; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0387439397151409,,,,,,,Homo sapiens,0.4,Homo sapiens,Homo sapiens
SNAI2,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Epithelioma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Epithelial ovarian cancer; Skin carcinoma,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0387439397151409; 0.0482468351695405,Anomalous Pulmonary Artery; Breast Carcinoma; Esophagus Neoplasm; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0075861267486594; 0.0102679590519094; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,"Atrial septal defect, ostium primum type ORPHA:99106; Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; SIX2-related frontonasal dysplasia ORPHA:488437; Peters anomaly ORPHA:708; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; 20p12.3 microdeletion syndrome ORPHA:261295; Chondrosarcoma ORPHA:55880; Greig cephalopolysyndactyly syndrome ORPHA:380; Isolated hyperchlorhidrosis ORPHA:542657; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Ulnar-mammary syndrome ORPHA:3138; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Branchiootic syndrome ORPHA:52429; Congenital short bowel syndrome ORPHA:2301; Papillary renal cell carcinoma ORPHA:319298; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Rieger anomaly ORPHA:91483; Brachydactyly type A2 ORPHA:93396; Unverricht-Lundborg disease ORPHA:308; Waardenburg syndrome type 2 ORPHA:895; Early-onset nuclear cataract ORPHA:98991; Bruck syndrome ORPHA:2771; Autosomal recessive spastic paraplegia type 66 ORPHA:401815; CHST3-related skeletal dysplasia ORPHA:263463; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465; Diaphanospondylodysostosis ORPHA:66637; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial drusen ORPHA:75376; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; Ischiovertebral syndrome ORPHA:85200; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Mandibulofacial dysostosis with alopecia ORPHA:443995; Myopathic Ehlers-Danlos syndrome ORPHA:536516; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Oculocutaneous albinism type 3 ORPHA:79433; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Primary CD59 deficiency ORPHA:169464; Retinal arterial tortuosity ORPHA:75326; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; X-linked osteoporosis with fractures ORPHA:391330; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Congenital diaphragmatic hernia ORPHA:2140; Familial primary localized cutaneous amyloidosis ORPHA:353220; Hypoplastic left heart syndrome ORPHA:2248; Piebaldism ORPHA:2884; Posterior hypospadias ORPHA:95706; Trichorhinophalangeal syndrome type 2 ORPHA:502; BOR syndrome ORPHA:107; Erythrokeratodermia variabilis ORPHA:317; Ondine syndrome ORPHA:661",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0083744975290613; 0.0092060390928213; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111; 0.020072786018028,,,Homo sapiens MDA-MB-468 mammary gland adenocarcinoma cell,0.35,Homo sapiens,Homo sapiens
SNCG,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Squamous cell carcinoma; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Epithelial ovarian cancer",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0308703957553632; 0.0387439397151409,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Anaplastic Carcinoma; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764; 0.0402286636010764,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093,0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293 embryonic kidney cell,0.4,Homo sapiens,Homo sapiens
SORBS1,Colorectal Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Colorectal Cancer; Malignant neoplasm of breast; Epithelial ovarian cancer,0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0191435238361999; 0.0387439397151409,Breast Cancer,0.0402286636010764,,,,,In vitro;chinese hamster ovary cell line,0.35;0.4,Homo sapiens;chemical synthesis;crigr,Homo sapiens;Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)
SORL1,Colorectal Cancer; Malignant neoplasm of breast,0.0149315928814189; 0.0191435238361999,Breast Cancer,0.0402286636010764,,,,,Homo sapiens HCT116 colon carcinoma cell;Homo sapiens HEK293T embryonic kidney cell;In vitro;yeasx,0.35;0.4;0.56;0.81,Homo sapiens,Homo sapiens;chemical synthesis
SORT1,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0191435238361999,,,Familial multiple nevi flammei ORPHA:624; Sturge-Weber syndrome ORPHA:3205,0.0180064224283883; 0.0180064224283883,,,Homo sapiens;Homo sapiens A549 lung carcinoma cell;In vitro,0.35;0.4;0.44;0.56;0.68,Homo sapiens;Human SARS coronavirus;SARS-CoV-2;ade05;chemical synthesis;ebvb9,Homo sapiens;chemical synthesis
SPAG1,Carcinogenesis,0.0228075668512991,,,,,,,Homo sapiens HEK293T embryonic kidney cell,0.35,Homo sapiens,Homo sapiens
SPC25,,,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Roberts syndrome ORPHA:3103,0.0083045131203191; 0.0106988445340883; 0.0180064224283883,,,In vitro,0.35,chemical synthesis,Homo sapiens
STN1,Colorectal Carcinoma; Colorectal Cancer; melanoma; Epithelial ovarian cancer,0.0034602840073026; 0.0149315928814189; 0.0149315928814189; 0.0387439397151409,,,,,,,,,,
SULT1A1,"Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; Squamous cell carcinoma; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Urologic Neoplasms; Brain Tumor, Primary; Cancer of Urinary Tract",0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0314665934969085; 0.044151975756427; 0.0492766532827251,Breast Carcinoma; Urinary Tract Cancer; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0102679590519094; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,Homo sapiens HEK293T embryonic kidney cell;yeasx,0.35;0.37,Homo sapiens,Bacillus anthracis;Homo sapiens
